,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",2313,2402.4,2227.9,2230.8,3648.0,3900.7,3964.7,4102.0,3587.7,4003.6,4234.9,2992.8,2545.7,2633.4,2698.6,2161.2,2215.6,2001.1,1752.5,1683.8,2000.7,2027.4,1973.1,1965.6,2017.0,2042.8,2089.5,2123.4,2163.9,2140.3,
45,Paper and paper products,4594.7,5165.1,5511.1,5359.2,5323.9,4862.3,4424.4,4165.1,4101.5,4135.9,5247.5,3857.2,3623.5,3468.0,4805.6,5035.7,5347.1,5220.4,4427.2,3808.3,3453.2,3366.2,3354.5,3334.9,3308.3,2236.6,2284.1,2262.0,2169.7,2252.9,
46,Printing and recording services,756.4,757.6,726.9,741.2,862.3,1022.8,986.2,894.8,663.4,1140.5,1073.0,2225.1,2220.8,2810.7,1208.1,1614.5,944.7,937.6,762.4,659.1,629.0,611.3,600.6,582.7,579.8,405.5,412.8,419.7,405.5,421.3,
47,Manufacture of coke oven products,3351.8,2882.4,2572.2,2379.2,2294.0,2206.6,2276.1,2387.7,2110.5,2112.1,2114.5,1618.6,1362.0,1311.9,1230.1,1180.2,1531.6,1730.3,1709.9,1608.3,1755.2,1711.2,1560.6,1757.1,2005.1,1939.7,1758.9,1862.9,2005.2,1841.7,
48,Manufacture of refined petroleum products,18158.1,18931.3,19345.9,20271.4,19802.9,20541.2,20968.6,20835.2,20338.3,18433.2,17646.2,17432.3,19638.5,19134.4,18923.2,20443.5,18549.9,18328.1,17717.7,16928.9,17490.2,17912.6,16271.5,15216.5,14193.3,14300.3,14468.1,14604.2,14234.7,13833.4,
49,Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,2181.3,2089.0,2414.2,2908.8,3417.0,3561.5,3003.1,2952.6,2513.3,1904.3,3608.2,2870.6,2319.1,2670.1,2400.8,3101.7,3072.7,3096.4,3165.7,2635.9,2762.6,2574.5,2371.0,2354.3,2077.8,1981.8,2095.1,2245.2,2230.1,2201.1,
50,Fertilisers,596.5,602.3,615.9,621.0,618.4,693.6,696.1,525.9,615.1,693.4,748.7,779.9,817.0,779.7,662.0,730.7,561.7,750.0,759.1,572.5,655.5,552.0,752.8,651.5,656.2,692.2,641.6,778.7,668.8,728.4,
51,Other nitrogen compounds,5253.6,5298.4,5492.6,5517.5,4294.2,4374.3,4415.3,3857.2,4754.3,6359.9,5521.1,5291.1,4354.7,4271.7,4431.9,3826.5,2902.1,3129.7,2729.2,2123.9,2465.9,1119.2,1173.0,1032.8,1028.4,1052.3,1022.2,1229.8,887.9,1013.7,
52,Manufacture of petrochemicals,46701.2,47879.9,43937.2,41430.6,43473.4,42344.5,43217.3,44706.9,39195.7,20143.5,16903.8,14157.4,13518.4,13004.9,12388.5,10140.2,10039.7,10204.1,9486.8,8056.1,8117.7,7927.6,7423.1,7031.2,6080.6,6211.7,6406.5,6773.2,6458.6,6195.7,
53,"Manufacture of dyestuffs, agro-chemicals",1651.2,1496.0,1699.5,1950.8,1936.8,1824.2,1573.3,1741.3,2049.1,1276.3,1826.1,2453.0,2047.2,1751.2,1711.8,1855.6,1612.8,1586.7,1450.2,1105.8,1104.2,994.2,976.1,1020.9,977.7,989.8,1015.4,1088.4,1092.1,1045.7,
54,"Manufacture of paints, varnishes & ink",368.7,339.9,377.0,471.7,498.0,408.9,304.3,224.3,222.6,219.9,151.5,398.9,269.6,254.1,269.8,221.8,248.0,243.3,238.8,208.6,225.1,197.6,180.0,183.7,173.5,167.6,180.9,186.0,187.4,180.8,
55,Manufacture of cleaning & toilet preparations,592.2,420.2,384.0,459.1,448.7,394.2,352.6,341.5,338.6,330.7,458.8,345.0,343.5,979.2,804.6,1050.1,1049.4,902.2,686.7,364.0,377.2,338.7,326.1,334.0,319.0,317.6,324.7,346.3,346.0,336.4,
56,Manufacture of other chemical products & man-made fibres,881.2,863.8,951.0,1251.6,1310.4,1283.6,1117.4,1194.3,940.4,1027.8,709.2,1099.7,687.9,767.6,582.4,766.7,710.0,677.6,673.6,611.6,625.8,559.5,556.6,577.0,530.0,516.6,570.0,587.5,591.1,580.7,
57,Basic pharmaceutical products and pharmaceutical preparations,1095.1,1006.6,1034.3,1265.6,1294.9,1349.5,1166.2,1171.0,1257.3,1395.5,1018.7,2163.2,1799.7,1892.0,1926.2,1531.8,1261.8,1231.8,1251.7,913.4,940.4,869.5,802.0,811.5,728.6,685.8,717.2,765.3,759.4,744.8,
58,Rubber products,1216.1,1331.0,1088.2,871.1,957.7,957.2,787.4,1019.6,825.5,1168.4,1440.8,1359.0,1015.9,644.6,794.4,1337.3,853.1,733.6,370.7,350.4,488.4,432.1,402.6,404.5,435.8,446.3,504.1,538.8,589.6,571.5,
59,Plastics products,4513.5,5020.0,4819.2,3327.8,3539.4,3547.5,3144.6,3265.6,2425.3,2226.4,2463.4,2657.9,2102.7,2832.7,2733.5,3390.5,3153.5,2771.0,2333.9,2226.7,3181.6,2764.2,2518.2,3186.6,3597.6,3304.7,3525.8,3420.6,3267.7,2975.5,
60,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",5930.2,6114.2,5661.9,4817.7,4808.7,4327.8,4108.2,3979.1,3934.8,3817.4,3976.0,3782.7,3534.5,3536.5,3515.0,3382.6,3243.1,3757.8,4256.2,3671.7,3076.5,2830.3,2407.0,2473.9,2597.3,3044.5,3133.7,3158.5,3257.0,3100.6,
61,Manufacture of cement,13446.5,10990.3,9933.3,9972.5,11383.7,11114.9,11258.8,11786.2,11934.7,11373.5,10935.9,10525.1,10799.5,10345.5,10535.1,10246.3,10225.8,10531.4,8932.0,6331.7,6482.4,6890.8,6278.7,6739.5,7029.8,7399.3,7753.9,7573.0,7582.2,7723.1,
62,Manufacture of lime,2068.1,1846.1,1636.5,1641.9,1706.8,1875.2,2085.9,2137.4,2264.6,1954.7,1986.2,1979.8,1826.8,1963.2,2077.2,2080.8,2083.3,2213.6,2009.1,1445.6,1666.1,1715.6,1679.6,1777.2,1845.5,1740.8,1413.2,1502.4,1554.2,1514.6,
63,Manufacture of plaster,72.7,57.5,44.9,39.3,31.2,24.8,24.9,32.8,11.9,15.2,16.4,20.6,19.9,18.7,19.8,20.7,13.3,12.8,12.8,12.7,12.9,11.5,11.7,12.0,11.2,11.3,13.4,13.1,13.3,13.1,
64,"Manufacture of articles of concrete, cement and plaster",552.2,533.1,520.4,471.4,502.1,464.9,461.4,475.7,526.3,599.8,657.2,654.7,598.0,626.5,662.7,727.2,812.5,943.6,1235.5,1435.4,1326.7,1278.2,1718.1,2237.7,1819.0,1517.1,1168.5,970.5,921.0,869.3,
65,Manufacture of basic Iron & Steel,24530.5,23598.5,22805.5,23099.1,23704.2,24006.1,24577.4,25113.2,23430.2,25078.2,22394.4,20361.4,17424.4,19883.5,20352.5,20526.6,21293.3,21801.9,20977.3,15468.5,14182.0,12912.4,14095.7,18442.4,18704.1,16984.1,11796.0,11407.9,10764.3,11258.8,
66,Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),3195.1,3335.0,3612.2,3619.6,3947.7,3932.9,4515.5,3333.2,2891.4,3222.1,3136.7,2822.7,2803.9,2152.5,2218.6,1258.6,1294.9,1043.3,1024.4,786.3,1286.9,901.9,1027.8,1082.4,1176.6,815.0,751.5,784.3,870.7,830.0,
67,Aluminium production,4350.1,4223.3,3512.6,4162.8,3812.4,3553.0,3981.7,3772.7,4019.5,4116.5,3999.7,4119.7,4028.4,4180.6,4214.2,3987.9,4027.4,4004.0,3992.8,3604.5,3796.4,3617.8,2955.6,599.1,687.9,590.5,559.1,563.2,570.0,553.4,
